"","Rep","Treat","CGRc","CGRSs","LAIc","LAIs","PHc","PHs","FYc","FYs","FYmix","DMc","DMs","DMmix","CPmix","NDFmix","ADFmix","DMDmix","WSCmix","ADLmix","ProteinYmix","PH","DM","Lactic","Acetic","Propionic","Butyric","AmmoniaN"
"25",3,"CM50Bio",22.43,7.74,2.11,2.77,153,79,17.98,12.57,30.55,3.59,3.39,6.98,13.71,56.38,36.964792599,67.362412294,22.545425689,4.1273486435,956.958,4.06,32.66,3.84,1.6234458448,0.140173363256959,0.0421306409775886,1.68808147229691
"26",3,"NPK50CM",29.9725,8.49,2.4475,3.1375,198,109,33.06,23.96,57.02,7.392,5.982,13.373,14.66,50.45,27.1166388845,68.1089928585,22.9191985105,3.99,1960.4818,4.08,33.04,3.97,1.57373809701003,0.155165835473824,0.0327906074448573,2.23
"27",3,"NPK50Bio",27.3175,8.065,2.3675,3.0725,185,100,25.86,15.61,41.47,5.93,4.89,10.816,13.55,59.65,37.666351731,66.2521243359357,23.045183731,4.06331,1465.568,3.98,31.77,3.87,1.62,0.13227532318581,0.0190589282703541,1.92185179509327
"28",3,"NPK50CMBio",30.285,8.985,2.5425,3.195,195,112,33.115,24.179,57.294,7.899,6.327,14.226,14.49,49.83,27.1717835885,67.192643591,23.13,4.07,2061.3474,3.99,32.88,4.01,1.62894047069489,0.132096958811171,0.0147346895895703,2.16265063598
"29",3,"CM50",21.27,7.6325,2.1175,2.7775,153,78,18.29,11.38,29.67,3.81,3.061,6.87,13.34,57.77,36.62,67.5822646271,22.33,3.88,916.458,4.02,31.59,3.98,1.61,0.169367557454967,0.0178926812319089,1.77083269479932
"30",3,"NPK50",25.98,8.64,2.37,2.9675,188,99,24.25,15.71,39.96,5.04,4.31,9.35,13.53,57.12,34.1784563403,67.29,23.5778600055,3.4497192191,1265.055,4.02,31.53,3.99,1.62040825413181,0.152842515932239,0.0132483290818743,1.84578789897
"31",4,"NPK100",29.3395833333333,9.5475,2.5575,3.11,197,110,32.67,23.9833333333333,56.6533333333333,7.59,6.3466666666667,13.938,14.39,55.68,36.7651244286667,64.91,20.9175340236667,3.25894158866667,2005.6782,4.02,32.63,4.02,1.65534020726144,0.16213283110125,0.032525324524709,1.983362
"32",4,"Control",17.8041666666667,7.26083333333333,1.835,2.535,127,64,14.169,8.71333333333333,22.8823333333333,3.03233333333333,2.19766666666667,5.23,11.8739968898054,57.52,36.3244275402835,65.9497647599358,21.66,3.65030815584637,621.010037336821,4.08,32.1133333333333,3.92,1.63279197306146,0.168083141310979,0.031189012443,1.81654334342
"33",4,"CM100",26.365,8.47666666666667,2.39,3.0925,184,100,26.04,15.6103333333333,41.6503333333333,5.33366666666667,4.12933333333333,9.463,14.36,49.16,26.5563203436667,65.2757425973928,21.3011767436667,3.27924344366667,1358.8868,4.08,32.06,3.98,1.63114645840871,0.155948797204629,0.0320651480148124,2.065
"34",4,"Bio",22.46,7.71,2.09,2.73,153,77,17.6666666667,11.6983333333333,29.3650000000333,3.88633333333333,2.82666666666667,6.713,13.67,57.47,35.4565915436667,66.11,21.9552862436667,3.92152604366667,917.6671,3.99,31.7233333333333,3.89,1.6142804359766,0.149082639509748,0.0333461920234966,1.81
"35",4,"CM50Bio",22.34,7.68,2.12,2.71,151,76,18.53,12.25,30.78,3.89,3.22433333333333,7.11,13.2943819556667,59.59,34.1758376116667,66.57,21.7564707016667,3.33839365616667,945.2305570479,4.01,31.8033333333333,4.04,1.6024123215517,0.150079398505078,0.0321959158504958,1.87949446681248
"36",4,"NPK50CM",28.2716666666667,9.5916666666667,2.5475,3.175,199,115,33.12,25.743333333333,58.863333333333,7.64,6.23,13.87,14.5729217911667,50.06,26.3276838971667,64.3200378711666,21.9430243523166,3.20931644466667,2021.26425243482,4.01,32.7733333333333,4.08,1.62094021101337,0.162577826469033,0.0253606389916948,1.932
"37",4,"NPK50Bio",26.975,8.63083333333333,2.3675,3.0725,185,100,25.8626666666667,16.26333333333,42.1259999999967,5.21733333333333,4.019,9.24,13.25,59.87,36.8773967436667,65.4631693486024,22.6562287436667,3.38975134366667,1224.3,4.08,32.3266666666667,3.89,1.60691987384583,0.145193561239025,0.032221,1.90562606519084
"38",4,"NPK50CMBio",29.2275,9.60583333333333,2.5425,3.195,195,112,32.905,24.1563333333333,57.0613333333333,7.59,6.19166666666667,13.7853333333333,14.7104955911667,49.05,26.3828286011667,66.43,22.3115509361667,3.28885701866667,2027.89085222763,4.02,32.18,4.01,1.62969519891807,0.141954859886796,0.031222,1.921
"39",4,"CM50",22.4808333333333,7.7825,2.1175,2.7775,153,78,17.9253333333333,11.783333333,29.7086666663333,3.8466666666667,2.897,6.74233333333333,13.83,56.98,37.8148694363667,65.7933096397666,23.5121238315167,3.46667,932.4647,4.02,33.3866666666667,4.04,1.59351046641843,0.135346480205815,0.0294,1.56432046977528
"40",4,"NPK50",25.98,8.49,2.34,3.07,186,98,25.21,16.22,41.43,5.4276666666666,4.54,9.966666666667,13.69,58.31,35.3895013529667,66.5085091344667,22.7889050181667,3.66076423176667,1364.43666666671,4.01,32.33,3.97,1.63,0.148853639306327,0.034,1.86432242
